rank_by_effective_price,year,model,trim,exterior_color,interior,vin,stock_number,dealer,distance_miles_approx,status,msrp_plus_dph,dealer_discount,mandatory_dealer_fee,effective_advertised_price,estimated_days_listed,days_listed_confidence,url
11,2026,RX 350h,Premium,Eminent White Pearl,Palomino NuLuxe and Ash Bamboo Trim,2T2BBMCA4TC32D427,Not listed,Lexus of Colorado Springs,72,In Stock,63583,0,0,63583,,Unknown,https://www.lexusofcoloradosprings.com/inventory/new-2026-lexus-rx-hybrid-rx-350h-premium-awd-awd-rx-350h-prem-awd-2t2bbmca4tc32d427/
12,2026,RX 350h,Premium,Nightfall Mica,Birch Nuluxe® and Black Open-Pore Wood Trim,2T2BBMCA1TC148114,SLLTC148114,Stevinson Lexus of Lakewood,13,In Transit,,,799,63743,,N/A,https://www.stevinsonlexusoflakewood.com/new/LEXUS/2026-LEXUS-RX-350h-475de47cac183200ff501480415e1dd9.htm
13,2026,RX 350h,Premium,Copper Crest,Birch Nuluxe® and Black Open-Pore Wood Trim,2T2BBMCA6TC147962,2T2BBMCA6TC147962,Stevinson Lexus of Frederick,36,In Transit,,,799,63757,,N/A,https://www.stevinsonlexusoffrederick.com/new/LEXUS/2026-LEXUS-RX-350h-4d0da60bac18494f4214ccec7edb694a.htm
14,2026,RX 350h,Premium+,Matador Red Mica,Macadamia Leather and Ash Bamboo Trim,2T2BBMCA7TC146853,SLLTC146853,Stevinson Lexus of Lakewood,13,In Stock,,,799,64088,,Unknown,https://www.stevinsonlexusoflakewood.com/new/LEXUS/2026-LEXUS-RX-350h-192ce374ac185cc92880da0774389132.htm
15,2026,RX 350h,Premium,Eminent White Pearl,Palomino NuLuxe and Ash Bamboo Trim,2T2BBMCA2TC148137,LC27C158,Lexus of Colorado Springs,72,In Transit,64193,0,0,64193,,N/A,https://www.lexusofcoloradosprings.com/inventory/new-2026-lexus-rx-hybrid-rx-350h-premium-awd-awd-rx-350h-prem-awd-2t2bbmca2tc148137/
16,2026,RX 350h,Premium,Nightfall Mica,Black Nuluxe® and Black Open-Pore Wood Trim,2T2BBMCA3TC147272,2T2BBMCA3TC147272,Stevinson Lexus of Frederick,36,In Transit,,,799,64242,,N/A,https://www.stevinsonlexusoffrederick.com/new/LEXUS/2026-LEXUS-RX-350h-24aa362aac1819229d5476fa940e7b63.htm
17,2026,RX 350h,Premium,Eminent White Pearl,Palomino NuLuxe and Ash Bamboo Trim,2T2BBMCA1TC30C440,Not listed,Lexus of Colorado Springs,72,In Stock,64518,0,0,64518,,Unknown,https://www.lexusofcoloradosprings.com/inventory/new-2026-lexus-rx-hybrid-rx-350h-premium-awd-awd-rx-350h-prem-awd-2t2bbmca1tc30c440/
18,2026,RX 350h,Premium+,Nori Green Pearl,Birch Leather and Black Open-Pore Wood Trim,2T2BBMCA0TC17C117,SLLTC17C117,Stevinson Lexus of Lakewood,13,In Transit,,,799,64938,,N/A,https://www.stevinsonlexusoflakewood.com/new/LEXUS/2026-LEXUS-RX-350h-a0cf43e4ac1845457ae37be8bbbe216a.htm
19,2026,RX 350h,Premium+,Eminent White Pearl,Macadamia Leather and Ash Bamboo Trim,2T2BBMCA1TC145472,SLLTC145472,Stevinson Lexus of Lakewood,13,In Stock,,,799,65059,,Unknown,https://www.stevinsonlexusoflakewood.com/new/LEXUS/2026-LEXUS-RX-350h-e0193a24ac1829d834f74c6fdeec708b.htm
20,2026,RX 350h,Premium+,Eminent White Pearl,Macadamia Leather and Ash Bamboo Trim,2T2BBMCA0TC146872,SLLTC146872,Stevinson Lexus of Lakewood,13,In Stock,,,799,65088,,Unknown,https://www.stevinsonlexusoflakewood.com/new/LEXUS/2026-LEXUS-RX-350h-192ce4c8ac1806192e06a5e884fe6ce2.htm
21,2026,RX 350h,Premium+,Iridium,Macadamia Leather and Ash Bamboo Trim,2T2BBMCA0TC115766,SLL260289,Stevinson Lexus of Lakewood,13,In Transit,,,799,65313,,N/A,https://www.stevinsonlexusoflakewood.com/new/LEXUS/2026-LEXUS-RX-350h-e497f739ac184088e8b0dbce3c1f829e.htm
22,2026,RX 350h,Premium+,Eminent White Pearl,Macadamia Leather and Ash Bamboo Trim,2T2BBMCA5TC115892,SLL260292,Stevinson Lexus of Lakewood,13,In Transit,,,799,65313,,N/A,https://www.stevinsonlexusoflakewood.com/new/LEXUS/2026-LEXUS-RX-350h-e58f4049ac180c4ef1f8d82948650b64.htm
23,2026,RX 350h,Premium+,Eminent White Pearl,Macadamia Leather and Ash Bamboo Trim,2T2BBMCA9TC116172,SLL260306,Stevinson Lexus of Lakewood,13,In Transit,,,799,65313,,N/A,https://www.stevinsonlexusoflakewood.com/new/LEXUS/2026-LEXUS-RX-350h-ea031d1eac1837d0dfe2868ddb43ad32.htm
24,2026,RX 350h,Premium+,Iridium,Palomino Leather and Ash Bamboo Trim,2T2BBMCA8TC115420,SLL260278,Stevinson Lexus of Lakewood,13,In Transit,,,799,65463,,N/A,https://www.stevinsonlexusoflakewood.com/new/LEXUS/2026-LEXUS-RX-350h-df7f7041ac184088e8b0dbce4320b6d5.htm
25,2026,RX 350h,Premium+,Cloudburst Gray,Black Leather and Black Open-Pore Wood Trim,2T2BBMCA1TC134665,LC134665,Lexus of Colorado Springs,72,In Stock,65774,0,0,65774,,Unknown,https://www.lexusofcoloradosprings.com/inventory/new-2026-lexus-rx-hybrid-rx-350h-premium-awd-awd-rx350h-prem-awd-2t2bbmca1tc134665/
26,2026,RX 350h,Premium+,Nightfall Mica,Black Leather and Black Open-Pore Wood Trim,2T2BBMCA4TC21C523,SLL260793,Stevinson Lexus of Lakewood,13,In Transit,,,799,65844,,N/A,https://www.stevinsonlexusoflakewood.com/new/LEXUS/2026-LEXUS-RX-350h-9cb1628eac18231ba5c0b249dd2705c4.htm
